support,itemsets
0.29440857627888944,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low'})"
0.2662442688909385,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low'})"
0.202871235513494,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium'})"
0.1606381414497868,"frozenset({'Family Size_Small', 'Main Source of Water Supply (2nd visit only)_Medium'})"
0.10991030730774887,"frozenset({'Softdrinks_High', 'Main Source of Water Supply (2nd visit only)_Medium'})"
0.11721538276456671,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Softdrinks_Low'})"
0.11094625121974042,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Food Not Elsewhere Classified (Total)_High'})"
0.1497908061648688,"frozenset({'Family Size_Medium', 'Main Source of Water Supply (2nd visit only)_Medium'})"
0.14066781623023353,"frozenset({'NPCINC_Medium', 'Main Source of Water Supply (2nd visit only)_Medium'})"
0.11468233281201962,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Fruit and vegetable juices_High'})"
0.11253692638783067,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Cocoa (total)  expenditure_High'})"
0.11100640280172702,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Coffee, Cocoa and Tea (Total)_High'})"
0.10641483204341608,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'NPCINC_Low'})"
0.2395302829797757,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.18588843886594217,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low'})"
0.17593669380171365,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low'})"
